"ShoeSize","Gender","Grade","Height"
"10","F",NA,"50"
"10","F",NA,"60"
"10","F",NA,"60"
"10","M",NA,"58"
"10","M",NA,"58"
"7.75","F","1","46.5"
"7.75","F","1","46.5"
"8.5","F",NA,"56"
"8.5","F",NA,"56"
"10.5","F",NA,"61.5"
"10.5","F",NA,"61.5"
"9.25","F",NA,"61.75"
"9.25","F",NA,"61.75"
"8","F","1","46.5"
"8","F","1","46.5"
"10.5","M",NA,"51.5"
"10.5","M",NA,"51.5"
"8","M","K","47.5"
"8","M","K","47.5"
"10.75","M",NA,"53"
"10.75","M",NA,"53"
"8.5","F",NA,"50.5"
"8.5","F",NA,"50.5"
"10.5","F",NA,"54.5"
"10.5","F",NA,"54.5"
"9.25","F",NA,"53.5"
"9.25","F",NA,"53.5"
"10.25","M",NA,"55"
"10.25","M",NA,"55"
"9","F","1","48"
"9","F","1","48"
"9.75","F",NA,"54.5"
"9.75","F",NA,"54.5"
"8.5","F","K","46.5"
"8.5","F","K","46.5"
"8.5","M","1","50.5"
"8.5","M","1","50.5"
"10.5","F",NA,"60"
"10.5","F",NA,"60"
"5.5","F","1","48.5"
"5.5","F","1","48.5"
"10.5","F",NA,"66.5"
"10.5","F",NA,"66.5"
"10.25","F",NA,"58.75"
"10.25","F",NA,"58.75"
"9.5","F",NA,"59"
"9.5","F",NA,"59"
"8.5","M",NA,"52"
"8.5","M",NA,"52"
"8","M","K","44"
"8","M","K","44"
"10.5","M",NA,"57"
"10.5","M",NA,"57"
"10","M",NA,"53.5"
"10","M",NA,"53.5"
"9.25","F",NA,"54"
"9.25","F",NA,"54"
"8.5","F","1","46.5"
"8.5","F","1","46.5"
"9","F",NA,"52"
"9","F",NA,"52"
"10","M",NA,"58"
"10","M",NA,"58"
"9","F",NA,"56"
"9","F",NA,"56"
"9","F","1","54"
"9","F","1","54"
"9","F","1","54"
"8.75","F",NA,"55"
"8.75","F",NA,"55"
"9.75","F",NA,"64"
"9.75","F",NA,"64"
"7.75","F","1","50"
"7.75","F","1","50"
"12","M",NA,"71"
"12","M",NA,"71"
"9.75","M",NA,"61"
"9.75","M",NA,"61"
"8.75","M","1","49.5"
"8.75","M","1","49.5"
"9","M","K","50"
"9","M","K","50"
"7.25","M","K","45"
"7.25","M","K","45"
"7.25","M","K","45"
"10","M",NA,"59"
"10","M",NA,"59"
"9","F","K","49"
"9","F","K","49"
"7","M","K","42"
"7","M","K","42"
"8.75","F","1","49"
"8.75","F","1","49"
"8.75","M",NA,"54"
"7.5","F","K","46"
"7.25","F","K","47"
"8","M","1","42"
"8","M","1","45"
"6","F","K","40"
"7","M","K","40"
